rene@rene-VirtualBox:~/Development/os-report-modules$ less /var/log/syslog | grep 'HIGHMEM'
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578943] [HIGHMEM]: array[58] = [58]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578944] [HIGHMEM]: array[59] = [59]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578944] [HIGHMEM]: array[60] = [60]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578944] [HIGHMEM]: array[61] = [61]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578945] [HIGHMEM]: array[62] = [62]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578945] [HIGHMEM]: array[63] = [63]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578945] [HIGHMEM]: array[64] = [64]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578946] [HIGHMEM]: array[65] = [65]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578946] [HIGHMEM]: array[66] = [66]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578946] [HIGHMEM]: array[67] = [67]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578947] [HIGHMEM]: array[68] = [68]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578947] [HIGHMEM]: array[69] = [69]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578947] [HIGHMEM]: array[70] = [70]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578948] [HIGHMEM]: array[71] = [71]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578948] [HIGHMEM]: array[72] = [72]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578948] [HIGHMEM]: array[73] = [73]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578949] [HIGHMEM]: array[74] = [74]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578949] [HIGHMEM]: array[75] = [75]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578949] [HIGHMEM]: array[76] = [76]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578949] [HIGHMEM]: array[77] = [77]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578950] [HIGHMEM]: array[78] = [78]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578950] [HIGHMEM]: array[79] = [79]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578950] [HIGHMEM]: array[80] = [80]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578951] [HIGHMEM]: array[81] = [81]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578951] [HIGHMEM]: array[82] = [82]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578951] [HIGHMEM]: array[83] = [83]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578952] [HIGHMEM]: array[84] = [84]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578952] [HIGHMEM]: array[85] = [85]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578952] [HIGHMEM]: array[86] = [86]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578953] [HIGHMEM]: array[87] = [87]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578953] [HIGHMEM]: array[88] = [88]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578953] [HIGHMEM]: array[89] = [89]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578954] [HIGHMEM]: array[90] = [90]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578954] [HIGHMEM]: array[91] = [91]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578954] [HIGHMEM]: array[92] = [92]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578955] [HIGHMEM]: array[93] = [93]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578955] [HIGHMEM]: array[94] = [94]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578955] [HIGHMEM]: array[95] = [95]
